Loading static graph/features (shared across all trials, k fixed)...
n_train=324
trial 51: hidden_dim=64 n_layers=5 lr=6.73e-03 dropout=0.099 weight_decay=5.27e-06
  trial 51  epoch 0  val_loss=0.01386  best=0.01386  bad_epochs=0
  trial 51  epoch 1  val_loss=0.01092  best=0.01092  bad_epochs=0
  trial 51  epoch 2  val_loss=0.00930  best=0.00930  bad_epochs=0
  trial 51  epoch 3  val_loss=0.00779  best=0.00779  bad_epochs=0
  trial 51  epoch 4  val_loss=0.00748  best=0.00748  bad_epochs=0
  trial 51  epoch 5  val_loss=0.00565  best=0.00565  bad_epochs=0
  trial 51  epoch 6  val_loss=0.01077  best=0.00565  bad_epochs=1
  trial 51  epoch 7  val_loss=0.00505  best=0.00505  bad_epochs=0
  trial 51  epoch 8  val_loss=0.00870  best=0.00505  bad_epochs=1
  trial 51  epoch 9  val_loss=0.00438  best=0.00438  bad_epochs=0
  trial 51  epoch 10  val_loss=0.00516  best=0.00438  bad_epochs=1
  trial 51  epoch 11  val_loss=0.00368  best=0.00368  bad_epochs=0
  trial 51  epoch 12  val_loss=0.00641  best=0.00368  bad_epochs=1
  trial 51  epoch 13  val_loss=0.00370  best=0.00368  bad_epochs=2
  trial 51  epoch 14  val_loss=0.00411  best=0.00368  bad_epochs=3
  trial 51  epoch 15  val_loss=0.00372  best=0.00368  bad_epochs=4
  trial 51  epoch 16  val_loss=0.00371  best=0.00368  bad_epochs=5
  trial 51  epoch 17  val_loss=0.00737  best=0.00368  bad_epochs=6
  trial 51  epoch 18  val_loss=0.00307  best=0.00307  bad_epochs=0
  trial 51  epoch 19  val_loss=0.00280  best=0.00280  bad_epochs=0
  trial 51  epoch 20  val_loss=0.00423  best=0.00280  bad_epochs=1
  trial 51  epoch 21  val_loss=0.00270  best=0.00270  bad_epochs=0
  trial 51  epoch 22  val_loss=0.00413  best=0.00270  bad_epochs=1
  trial 51  epoch 23  val_loss=0.00310  best=0.00270  bad_epochs=2
  trial 51  epoch 24  val_loss=0.00355  best=0.00270  bad_epochs=3
  trial 51  epoch 25  val_loss=0.00520  best=0.00270  bad_epochs=4
  trial 51  epoch 26  val_loss=0.00310  best=0.00270  bad_epochs=5
  trial 51  epoch 27  val_loss=0.00317  best=0.00270  bad_epochs=6
  trial 51  epoch 28  val_loss=0.00633  best=0.00270  bad_epochs=7
  trial 51  epoch 29  val_loss=0.00258  best=0.00258  bad_epochs=0
  trial 51  epoch 30  val_loss=0.00366  best=0.00258  bad_epochs=1
  trial 51  epoch 31  val_loss=0.00256  best=0.00256  bad_epochs=0
  trial 51  epoch 32  val_loss=0.00357  best=0.00256  bad_epochs=1
  trial 51  epoch 33  val_loss=0.00320  best=0.00256  bad_epochs=2
  trial 51  epoch 34  val_loss=0.00292  best=0.00256  bad_epochs=3
  trial 51  epoch 35  val_loss=0.00241  best=0.00241  bad_epochs=0
  trial 51  epoch 36  val_loss=0.00562  best=0.00241  bad_epochs=1
  trial 51  epoch 37  val_loss=0.00403  best=0.00241  bad_epochs=2
  trial 51  epoch 38  val_loss=0.00249  best=0.00241  bad_epochs=3
  trial 51  epoch 39  val_loss=0.00302  best=0.00241  bad_epochs=4
  trial 51  epoch 40  val_loss=0.00502  best=0.00241  bad_epochs=5
  trial 51  epoch 41  val_loss=0.00295  best=0.00241  bad_epochs=6
  trial 51  epoch 42  val_loss=0.00288  best=0.00241  bad_epochs=7
  trial 51  epoch 43  val_loss=0.00340  best=0.00241  bad_epochs=8
  trial 51  epoch 44  val_loss=0.00310  best=0.00241  bad_epochs=9
  trial 51  epoch 45  val_loss=0.00265  best=0.00241  bad_epochs=10
trial 52: hidden_dim=64 n_layers=5 lr=2.09e-03 dropout=0.066 weight_decay=1.37e-06
  trial 52  epoch 0  val_loss=0.01363  best=0.01363  bad_epochs=0
  trial 52  epoch 1  val_loss=0.01056  best=0.01056  bad_epochs=0
  trial 52  epoch 2  val_loss=0.01256  best=0.01056  bad_epochs=1
  trial 52  epoch 3  val_loss=0.00821  best=0.00821  bad_epochs=0
  trial 52  epoch 4  val_loss=0.00668  best=0.00668  bad_epochs=0
  trial 52  epoch 5  val_loss=0.00737  best=0.00668  bad_epochs=1
  trial 52  epoch 6  val_loss=0.00950  best=0.00668  bad_epochs=2
  trial 52  epoch 7  val_loss=0.00465  best=0.00465  bad_epochs=0
  trial 52  epoch 8  val_loss=0.00994  best=0.00465  bad_epochs=1
  trial 52  epoch 9  val_loss=0.00532  best=0.00465  bad_epochs=2
  trial 52  epoch 10  val_loss=0.00518  best=0.00465  bad_epochs=3
  trial 52  epoch 11  val_loss=0.00386  best=0.00386  bad_epochs=0
  trial 52  epoch 12  val_loss=0.00372  best=0.00372  bad_epochs=0
  trial 52  epoch 13  val_loss=0.00416  best=0.00372  bad_epochs=1
  trial 52  epoch 14  val_loss=0.00309  best=0.00309  bad_epochs=0
  trial 52  epoch 15  val_loss=0.00424  best=0.00309  bad_epochs=1
  trial 52  epoch 16  val_loss=0.00299  best=0.00299  bad_epochs=0
  trial 52  epoch 17  val_loss=0.00683  best=0.00299  bad_epochs=1
  trial 52  epoch 18  val_loss=0.00276  best=0.00276  bad_epochs=0
  trial 52  epoch 19  val_loss=0.00339  best=0.00276  bad_epochs=1
  trial 52  epoch 20  val_loss=0.00245  best=0.00245  bad_epochs=0
  trial 52  epoch 21  val_loss=0.00262  best=0.00245  bad_epochs=1
  trial 52  epoch 22  val_loss=0.00366  best=0.00245  bad_epochs=2
  trial 52  epoch 23  val_loss=0.00220  best=0.00220  bad_epochs=0
  trial 52  epoch 24  val_loss=0.00263  best=0.00220  bad_epochs=1
  trial 52  epoch 25  val_loss=0.00334  best=0.00220  bad_epochs=2
  trial 52  epoch 26  val_loss=0.00261  best=0.00220  bad_epochs=3
