Loading static graph/features (shared across all trials, k fixed)...
n_train=324  sigma_ref=0.00877
trial 62: hidden_dim=64 n_layers=5 lr=1.44e-03 dropout=0.015 weight_decay=1.00e-06
  trial 62  epoch 0  val_loss=0.01468  best=0.01468  bad_epochs=0
  trial 62  epoch 5  val_loss=0.00741  best=0.00733  bad_epochs=1
  trial 62  epoch 10  val_loss=0.00696  best=0.00602  bad_epochs=2
  trial 62  epoch 15  val_loss=0.00342  best=0.00342  bad_epochs=0
  trial 62  epoch 20  val_loss=0.00316  best=0.00311  bad_epochs=1
  trial 62  epoch 25  val_loss=0.00441  best=0.00255  bad_epochs=2
  trial 62  epoch 30  val_loss=0.00284  best=0.00227  bad_epochs=4
  trial 62  epoch 35  val_loss=0.00236  best=0.00185  bad_epochs=1
  trial 62  epoch 40  val_loss=0.00187  best=0.00185  bad_epochs=2
  trial 62  epoch 45  val_loss=0.00163  best=0.00156  bad_epochs=2
  trial 62  epoch 50  val_loss=0.00129  best=0.00129  bad_epochs=0
  trial 62  epoch 55  val_loss=0.00170  best=0.00129  bad_epochs=5
  trial 62  [internal val]  R2=0.9409  worst_rMAE=0.0473  mean_rMAE=0.0286  mean_KLw=3.8238  max_KLw=7.0276
trial 63: hidden_dim=64 n_layers=5 lr=1.51e-03 dropout=0.070 weight_decay=1.01e-06
  trial 63  epoch 0  val_loss=0.01500  best=0.01500  bad_epochs=0
  trial 63  epoch 5  val_loss=0.00718  best=0.00718  bad_epochs=0
  trial 63  epoch 10  val_loss=0.00662  best=0.00546  bad_epochs=3
  trial 63  epoch 15  val_loss=0.00375  best=0.00375  bad_epochs=0
  trial 63  epoch 20  val_loss=0.00310  best=0.00295  bad_epochs=1
  trial 63: pruned at epoch 23 (val_loss=0.00285)
trial 64: hidden_dim=64 n_layers=5 lr=2.01e-03 dropout=0.015 weight_decay=3.93e-06
  trial 64  epoch 0  val_loss=0.01332  best=0.01332  bad_epochs=0
  trial 64  epoch 5  val_loss=0.00573  best=0.00573  bad_epochs=0
  trial 64  epoch 10  val_loss=0.00685  best=0.00531  bad_epochs=3
  trial 64  epoch 15  val_loss=0.00419  best=0.00360  bad_epochs=1
  trial 64  epoch 20  val_loss=0.00268  best=0.00268  bad_epochs=0
  trial 64  epoch 25  val_loss=0.00358  best=0.00234  bad_epochs=2
  trial 64  epoch 30  val_loss=0.00227  best=0.00227  bad_epochs=0
  trial 64  epoch 35  val_loss=0.00211  best=0.00184  bad_epochs=1
  trial 64  epoch 40  val_loss=0.00244  best=0.00184  bad_epochs=6
  trial 64  [internal val]  R2=0.9160  worst_rMAE=0.0597  mean_rMAE=0.0335  mean_KLw=4.5890  max_KLw=7.9462
trial 65: hidden_dim=64 n_layers=5 lr=1.03e-03 dropout=0.045 weight_decay=2.50e-06
  trial 65  epoch 0  val_loss=0.01447  best=0.01447  bad_epochs=0
  trial 65  epoch 5  val_loss=0.00692  best=0.00692  bad_epochs=0
  trial 65  epoch 10  val_loss=0.00835  best=0.00556  bad_epochs=3
  trial 65  epoch 15  val_loss=0.00341  best=0.00341  bad_epochs=0
